gene.id	mut.cls1	mut.cls2	dn.cls1	dn.cls2
H1-4	4.92E-07	8.42E-06	0	0
H2BC4	3.40E-07	5.38E-06	0	1
H3C6	4.59E-07	7.46E-06	0	1
HARS1	2.26E-06	1.56E-05	0	1
HECW2	7.37E-06	4.86E-05	0	1
HHIP	2.50E-06	1.76E-05	0	0
HMGXB3	3.91E-06	3.10E-06	0	0
HSF5	2.01E-06	1.83E-05	0	0
HSPA13	1.69E-06	1.23E-05	0	1
HTR2B	1.47E-06	9.81E-06	0	1
HTR2C	1.61E-06	1.46E-05	1	1
HTT	1.31E-05	8.83E-05	0	1
IFIT5	1.74E-06	1.13E-05	0	1
IFNW1	5.53E-07	4.20E-06	0	1
IGSF21	1.85E-06	1.84E-05	0	1
IL23A	5.70E-07	3.70E-06	0	1
IL27RA	2.92E-06	1.91E-05	0	1
IL31RA	3.03E-06	1.66E-05	0	1
ING2	9.35E-07	6.71E-06	0	1
IP6K1	1.64E-06	1.73E-05	0	0
IRF2BPL	1.55E-06	1.98E-05	1	0
IRGQ	2.28E-06	2.78E-05	0	0
ITGB5	3.22E-06	2.52E-05	0	1
JAG1	5.31E-06	4.05E-05	0	0
JAK3	4.13E-06	3.59E-05	0	1
JMJD1C	9.73E-06	6.06E-05	0	1
KCND3	2.02E-06	2.51E-05	0	1
KCNJ4	1.23E-06	2.02E-05	0	1
KIAA0100	9.75E-06	6.30E-05	0	1
KIAA0355	4.06E-06	3.27E-05	1	0
KLHL10	1.87E-06	1.72E-05	0	1
KLHL20	2.36E-06	1.46E-05	0	0
KLHL29	5.08E-07	3.01E-06	0	1
KLHL4	2.76E-06	1.84E-05	0	1
KMT2B	1.73E-05	0.000156	0	1
KRT10	2.34E-06	1.66E-05	0	0
LGR4	3.33E-06	1.97E-05	0	1
LHX8	1.25E-06	8.61E-06	1	0
LILRA4	1.89E-06	1.47E-05	1	0
LIMS1	1.63E-06	1.06E-05	0	1
LMAN1L	2.02E-06	1.40E-05	0	1
LRP1B	1.99E-05	0.000118	0	1
LRP3	2.53E-06	2.80E-05	1	0
LRRK2	1.09E-05	5.75E-05	0	1
LTBP1	7.10E-06	4.41E-05	0	1
MACF1	2.66E-05	0.000146	1	0
MADCAM1	9.51E-07	8.00E-06	1	0
MANBA	3.66E-06	2.14E-05	0	1
MAP2	6.12E-06	4.57E-05	0	0
MAPT	2.57E-06	2.58E-05	0	1
MCF2L2	5.67E-06	3.23E-05	1	0
MED19	4.64E-07	3.12E-06	0	1
MED23	5.17E-06	2.85E-05	1	0
MEI1	4.07E-06	3.33E-05	0	0
MEOX1	1.01E-06	7.92E-06	0	0
MERTK	3.98E-06	2.63E-05	0	0
MFSD2A	2.24E-06	1.61E-05	1	0
MGAT3	1.61E-06	2.37E-05	0	1
MIA2	2.19E-06	1.41E-05	0	1
MIA3	7.18E-06	4.48E-05	0	0
MIB1	4.81E-06	2.69E-05	0	1
MINAR1	3.01E-06	2.62E-05	0	0
MLH3	5.10E-06	3.54E-05	0	1
MMP8	2.12E-06	1.17E-05	0	1
MRAS	7.59E-07	7.43E-06	0	0
MROH7	5.13E-06	3.73E-05	0	1
MS4A12	9.76E-07	6.86E-06	0	1
MSANTD3	6.27E-07	5.21E-06	1	0
MTCL1	5.78E-06	5.49E-05	0	0
MTMR14	2.85E-06	1.83E-05	0	1
MTOR	1.23E-05	7.72E-05	0	0
MUC6	6.72E-06	7.96E-05	0	1
MYH13	6.40E-06	5.85E-05	0	1
MYH6	8.01E-06	7.04E-05	0	1
MYO3B	6.43E-06	3.65E-05	0	0
MYOM2	6.91E-06	5.03E-05	1	0
MYRF	4.09E-06	3.09E-05	0	1
MYT1	4.15E-06	3.24E-05	0	1
NBEAL2	8.70E-06	9.04E-05	0	1
NEB	2.63E-05	0.000179	0	1
NEDD9	3.37E-06	2.57E-05	0	1
NEK5	3.35E-06	1.70E-05	1	0
NFKBIL1	1.56E-06	9.91E-06	0	1
NKX2-3	1.02E-06	9.34E-06	1	0
NLN	3.22E-06	1.83E-05	0	1
NLRP5	3.84E-06	3.50E-05	0	0
NME3	6.15E-07	7.37E-06	0	1
NOC4L	2.05E-06	1.61E-05	0	1
NOTCH1	7.76E-06	8.41E-05	0	0
NPPB	5.93E-07	5.41E-06	0	1
NPR1	4.11E-06	2.83E-05	0	1
NRN1	5.44E-07	4.77E-06	0	0
NRROS	1.95E-06	2.41E-05	0	1
NRXN1	5.65E-06	5.02E-05	0	1
NRXN3	3.79E-06	3.42E-05	0	1
OASL	1.56E-06	1.19E-05	0	1
OBSCN	2.37E-05	0.000254	0	1
ONECUT3	1.05E-06	3.15E-06	0	0
OPRK1	1.40E-06	1.45E-05	0	1
OR11G2	9.26E-07	8.25E-06	1	0
OR14A16	8.08E-07	7.52E-06	0	0
OR7G1	9.24E-07	7.23E-06	0	1
ORAI3	7.77E-07	9.42E-06	0	1
PACS2	3.51E-06	3.03E-05	0	0
PAMR1	2.73E-06	1.69E-05	1	0
PANK1	2.31E-06	1.85E-05	1	0
PARD3B	4.89E-06	2.98E-05	0	0
PCDH20	2.00E-06	1.68E-05	0	1
PCSK5	7.56E-06	5.79E-05	0	0
PDLIM7	1.98E-06	1.62E-05	0	0
PELI3	1.45E-06	1.58E-05	0	0
PEX2	1.11E-06	6.72E-06	1	0
PHF2	3.90E-06	2.96E-05	0	1
PHLPP2	4.57E-06	2.88E-05	0	1
PHOX2A	6.75E-07	5.30E-06	0	1
PKD1L2	8.74E-07	5.70E-06	0	1
PKN2	3.84E-06	2.08E-05	0	1
PLCZ1	2.52E-06	1.40E-05	0	1
PLG	3.70E-06	2.28E-05	0	0
PLIN1	1.94E-06	1.21E-05	0	1
PLIN4	3.38E-06	4.78E-05	0	1
PLIN5	1.53E-06	1.39E-05	0	1
PLPBP	1.23E-06	8.19E-06	0	1
PLPPR3	1.66E-06	1.39E-05	0	1
PLXNA1	6.26E-06	6.49E-05	0	0
PLXNA2	7.68E-06	6.68E-05	0	0
PNLIPRP3	2.01E-06	1.18E-05	0	0
PNPLA7	5.89E-06	5.12E-05	0	1
POLR1A	7.62E-06	5.23E-05	0	1
POU3F4	1.12E-06	1.25E-05	0	0
PPFIBP1	4.90E-06	2.53E-05	0	1
PPP1R15B	2.29E-06	1.84E-05	0	0
PRKCA	3.39E-06	2.12E-05	1	0
PRMT2	2.58E-13	1.45E-10	0	1
PRND	6.04E-07	5.50E-06	0	1
PROX1	2.91E-06	2.31E-05	0	1
PRR25	1.16E-06	1.21E-05	0	1
PRSS50	1.38E-06	1.25E-05	0	0
PSAPL1	1.59E-06	1.60E-05	1	0
PSMA1	1.23E-06	6.66E-06	0	1
PTBP1	2.22E-06	2.19E-05	0	1
PTGFR	9.31E-07	6.74E-06	0	1
PTPN3	4.44E-06	2.54E-05	0	1
PTPRK	6.88E-06	4.03E-05	0	1
RADIL	3.48E-06	3.59E-05	0	0
RASA2	4.34E-06	2.01E-05	0	0
RBM12	2.61E-06	2.57E-05	0	0
REC8	2.84E-06	1.96E-05	0	1
RFC4	2.00E-06	9.31E-06	1	0
RIBC1	9.13E-07	4.36E-06	0	1
RIMBP2	3.46E-06	3.47E-05	1	0
RIMS1	6.86E-06	4.46E-05	0	1
RIN1	2.33E-06	1.76E-05	0	1
RIOK2	2.31E-06	1.48E-05	0	1
RMDN1	1.40E-06	7.98E-06	0	1
RNF145	2.58E-06	1.61E-05	1	0
ROBO2	6.15E-06	3.82E-05	0	1
ROR2	3.90E-06	3.73E-05	0	0
RSPO1	9.73E-07	8.93E-06	0	1
RTN2	2.71E-06	1.94E-05	1	0
RYR1	2.19E-05	0.000181	0	0
RYR3	1.67E-05	0.000141124	0	1
SAMD3	2.41E-06	1.17E-05	0	1
SAP130	4.50E-06	3.07E-05	0	1
SARDH	4.13E-06	3.55E-05	0	1
SATB1	3.43E-06	2.11E-05	0	1
SBF1	7.70E-06	7.54E-05	0	1
SBF2	8.08E-06	4.53E-05	0	0
SBK1	1.17E-06	1.61E-05	0	0
SCAMP2	1.53E-06	8.93E-06	0	1
SCN3A	8.10E-06	5.20E-05	0	1
SCN9A	6.46E-06	5.01E-05	0	1
SCNN1D	2.56E-06	2.11E-05	1	0
SDK2	6.90E-06	6.45E-05	0	1
SEC16A	7.54E-06	7.40E-05	0	1
SENP1	2.44E-06	1.45E-05	1	0
SFXN2	1.44E-06	1.06E-05	0	0
SH2D5	1.50E-06	1.48E-05	0	1
SKIL	1.98E-06	1.15E-05	0	1
SLC12A7	4.52E-06	4.52E-05	0	1
SLC17A5	1.73E-06	1.03E-05	0	1
SLC18A3	1.41E-06	2.59E-05	0	1
SLC22A14	2.25E-06	1.71E-05	0	1
SLC22A25	2.13E-06	1.42E-05	0	0
SLC25A3	1.40E-06	1.10E-05	0	1
SLC29A4	1.80E-06	2.24E-05	0	1
SLC35D2	1.26E-06	6.41E-06	0	1
SLC5A1	2.79E-06	2.08E-05	0	0
SLC5A10	2.60E-06	2.27E-05	0	0
SLC6A1	2.36E-06	1.88E-05	0	1
SLC6A3	2.39E-06	2.12E-05	0	0
SLC9C1	4.76E-06	2.74E-05	0	1
SMG6	5.52E-06	4.26E-05	0	1
SMPD1	2.26E-06	2.07E-05	0	0
SNAPC2	1.14E-06	1.10E-05	0	0
SNW1	2.61E-06	1.42E-05	0	1
SOGA1	4.39E-06	3.19E-05	1	0
SPAG8	2.28E-06	1.45E-05	0	0
SPRY4	5.83E-07	7.76E-06	0	1
SRCAP	1.27E-05	0.000105	0	0
SREBF2	4.30E-06	3.35E-05	0	0
SRF	1.33E-06	1.12E-05	0	1
SSBP4	1.74E-06	9.72E-06	1	0
STAT6	4.00E-06	2.48E-05	0	0
STING1	1.31E-06	1.20E-05	0	1
STIP1	3.10E-06	1.59E-05	0	1
STK25	2.12E-06	1.58E-05	0	0
STK36	5.54E-06	3.57E-05	0	1
SUPT16H	5.13E-06	2.70E-05	0	0
TAAR8	1.02E-06	8.59E-06	0	1
TAGLN	6.50E-07	4.89E-06	0	1
TBXAS1	2.17E-06	1.72E-05	0	1
TCIRG1	3.22E-06	2.40E-05	0	1
TEX15	9.24E-06	6.26E-05	0	1
TEX29	7.09E-07	5.25E-06	0	1
TFAP2C	1.59E-06	1.28E-05	0	1
TFE3	2.10E-06	1.70E-05	0	1
TGM6	3.04E-06	2.56E-05	0	0
THAP6	8.76E-07	5.93E-06	0	0
THEM5	9.40E-07	6.49E-06	0	1
TIGD5	1.74E-06	1.95E-05	0	0
TIMD4	1.46E-06	1.07E-05	0	1
TINAG	2.55E-06	1.24E-05	0	1
TMC3	4.06E-06	3.23E-05	0	1
TMEFF2	1.89E-06	1.03E-05	0	0
TMEM125	7.77E-07	8.30E-06	0	0
TMEM154	7.88E-07	5.09E-06	0	1
TMEM204	9.60E-07	9.96E-06	0	0
TMEM260	2.94E-06	1.57E-05	0	1
TMEM268	1.34E-06	9.24E-06	0	1
TMEM37	5.28E-07	6.20E-06	0	0
TMEM63C	2.30E-06	2.47E-05	0	0
TMEM69	5.95E-07	4.25E-06	0	0
TMEM79	1.48E-06	1.52E-05	0	1
TMOD4	1.87E-06	1.06E-05	0	1
TMPRSS13	2.42E-06	1.74E-05	0	0
TNRC18	7.66E-06	6.63E-05	0	0
TNS2	5.62E-06	4.55E-05	0	0
TNS3	6.33E-12	3.86E-09	0	1
TOGARAM1	6.97E-06	4.33E-05	0	1
TOR4A	6.50E-07	9.20E-06	0	1
TP63	3.38E-06	2.31E-05	0	0
TPD52	7.63E-07	4.01E-06	0	1
TPM1	1.30E-06	7.49E-06	0	0
TRA2B	1.57E-06	1.11E-05	0	1
TRAF3IP3	2.89E-06	1.35E-05	0	1
TRERF1	4.85E-06	3.86E-05	0	0
TRIM28	3.25E-06	2.51E-05	0	0
TRIP10	2.66E-06	1.97E-05	0	1
TRIP12	8.87E-06	5.21E-05	0	0
TRMT11	2.13E-06	1.15E-05	0	1
TRPM5	3.94E-06	3.51E-05	0	1
TSC22D2	2.57E-06	2.78E-05	0	1
TSPYL1	1.63E-06	1.57E-05	0	0
TSSK1B	1.30E-06	1.31E-05	0	0
TSSK6	9.45E-07	1.36E-05	0	1
TTC13	4.15E-06	2.03E-05	0	0
TTC17	5.00E-06	2.95E-05	1	0
TTC29	1.58E-06	1.03E-05	0	1
TTK	3.75E-06	1.88E-05	0	1
TTLL10	1.71E-06	1.17E-05	0	1
TUBA4A	1.23E-06	1.20E-05	0	3
TUBGCP6	6.68E-06	6.40E-05	0	0
TULP4	5.44E-06	5.45E-05	0	1
UBA7	4.04E-06	2.84E-05	0	0
UBL4A	3.86E-14	2.27E-11	0	1
UBQLN1	1.43E-06	8.76E-06	0	2
UBQLNL	1.14E-06	7.40E-06	0	1
UHRF1BP1	5.79E-06	3.67E-05	0	1
UROC1	2.96E-06	2.35E-05	0	0
USP47	5.72E-06	3.14E-05	0	1
VCAN	1.07E-05	8.19E-05	0	1
VCL	4.93E-06	3.31E-05	0	1
VPS13B	1.65E-05	9.93E-05	0	1
VPS13C	1.56E-05	8.41E-05	1	0
VWF	1.14E-05	9.02E-05	0	1
WASHC4	5.83E-06	2.60E-05	0	1
WDR17	6.11E-06	3.21E-05	0	1
WDR48	3.49E-06	1.72E-05	0	1
WNK1	1.10E-05	7.32E-05	0	1
WNT10B	1.73E-06	1.47E-05	0	1
YEATS2	6.26E-06	3.76E-05	0	1
YIPF2	1.27E-06	1.08E-05	0	1
YLPM1	9.42E-06	6.12E-05	0	1
ZDHHC7	1.57E-06	1.04E-05	0	0
ZFAT	4.12E-06	3.71E-05	0	0
ZFPM2	3.96E-06	2.84E-05	1	1
ZKSCAN1	2.15E-06	1.64E-05	0	0
ZMIZ1	3.69E-06	3.25E-05	0	0
ZMIZ2	3.02E-06	2.51E-05	0	0
ZNF182	1.67E-06	1.02E-05	0	1
ZNF257	2.11E-06	1.35E-05	0	1
ZNF502	2.03E-06	1.29E-05	0	1
ZNF518B	2.62E-06	2.15E-05	0	1
ZNF772	1.67E-06	1.24E-05	1	0
ZNF84	2.53E-06	1.77E-05	1	0
ZP1	2.98E-06	1.91E-05	0	1
ZP2	3.20E-06	1.95E-05	0	1
ZSCAN29	3.01E-06	2.28E-05	1	0
