Gene	GV_Mean	MI_Mean	MII_Mean
RNU5E-4P	0.34748332	0.056564804	0
KIAA2013	1.159993585	0.942379425	1.028327429
PLOD1	0.047187189	0	0.016645748
MFN2	9.83087405	4.874234026	3.340270678
RP5-1077B9.5	13.98796367	12.53902064	5.508523096
MIIP	2.931611485	1.124412553	5.456056051
Y_RNA	0	0	0
RN7SL649P	0	0	0
TNFRSF8	0.011155163	0.020932133	0
RNU6-777P	0	0	0
RP11-426M1.2	0.195978493	0.084248457	0.049278134
TNFRSF1B	1.13144917	0.370415823	0.388282188
MIR4632	0	0	0
RP5-1118D24.2	0	0	0
SNORA70	0	0	0
VPS13D	2.261077682	1.514763338	1.762878561
SNORA59A	3.037226085	1.143610028	1.328166199
RP5-888M10.2	0	0	0
DHRS3	0.013729996	0	0
RNU6ATAC18P	0	0	0
RP11-474O21.5	0.122604367	0	0
AADACL4	0	0	0
RP11-474O21.2	0	0	0
AADACL3	0	0	0
snoU13	0	0	0
C1orf158	0.009967272	0	0
PRAMEF12	0	0	0
PRAMEF1	0	0	0
RP5-845O24.8	0	0	0
PRAMEF11	0.00759027	0	0
RP5-845O24.3	0	0	0
HNRNPCL1	0.189625778	0.156055582	0.117550889
PRAMEF2	0	0	0
PRAMEF4	0	0	0
PRAMEF10	0	0	0
PRAMEF7	0	0	0
RNU6-1072P	0	0	0
RP11-450I1.2	0	0	0
PRAMEF6	0	0	0
RP11-450I1.4	0	0	0
PRAMEF22	0	0	0
WI2-3308P17.2	0	0	0
PRAMEF23	0	0	0
RP13-221M14.6	0	0	0
PRAMEF25	0	0	0
RP13-221M14.2	0	0	0
RP13-221M14.3	0	0	0
RP13-221M14.4	0	0	0
HNRNPCP5	0.161747488	0.117955651	0.04572343
WI2-2994D6.1	0	0	0
PRAMEF26	0	0	0
PRAMEF3	0	0	0
RP11-248D7.2	0	0	0
PRAMEF5	0	0	0
RP11-219C24.8	0	0	0
RNU6-771P	0	0	0
PRAMEF8	0	0	0
RP11-219C24.6	0	0	0
PRAMEF9	0.007492489	0	0
RP11-219C24.10	0	0	0
PRAMEF13	0	0	0
PRAMEF18	0	0	0
PRAMEF16	0	0	0
PRAMEF21	0	0	0
XX-FW84067D5.1	0	0	0
XX-FW84067D5.2	0	0	0
PRAMEF15	0.007492489	0	0
PRAMEF14	0	0	0
PRAMEF19	0	0	0
PRAMEF17	0	0	0
PRAMEF20	0	0	0
LRRC38	4.862893465	2.050650093	2.767480712
RP4-597A16.2	50.16546372	7.761957829	11.71316711
RP4-597A16.3	0	0	0
PDPN	42.50856897	27.13527462	40.55277669
AL359771.1	0	0	0
CTA-520D8.2	0	0	0
SCARNA11	0	0	0
PRDM2	11.14354856	11.37448845	11.44797767
RNU6-1265P	0	0	0
RP11-344F13.1	0	0	0
RP4-704D23.1	0	0	0
KAZN	0.027902542	0.008379505	0.025531183
TBCAP2	0.474326965	0.069278843	0.273363846
TMEM51-AS1	0.093704428	0.005108262	0.010229232
TMEM51	7.62752943	7.585161197	6.898716403
C1orf195	0	0	0
RP1-21O18.3	0	0	0
FHAD1	0.227844746	0.069649098	0.189290772
RP3-467K16.2	0.048202407	0	0.048807107
RP3-467K16.7	0	0	0
RP3-467K16.4	0	0	0.057618312
EFHD2	0.666355606	0.31483491	0.464986156
CTRC	0.303813777	0.099795014	0.038438893
CELA2A	0.833394601	0.610316383	1.028377458
CELA2B	0.66287946	0.436110556	0.818764031
CASP9	1.688378146	1.561765722	3.462144319
DNAJC16	2.136259247	2.027284573	2.283970575
SCARNA21	0	0	0
RP4-680D5.8	0.374184798	0.275260062	0.432821569
AGMAT	1.207423478	0.270747856	0.924868338
RP4-680D5.2	10.78824879	5.000286717	6.796332688
CHCHD2P6	13.58569614	17.87967232	24.94745446
RNU7-179P	0	0	0
RP4-680D5.4	0	0	0
DDI2	0.741790782	1.338925733	1.457690506
RSC1A1	0.371623377	0.996001464	1.346625276
RP4-680D5.9	0	0.118248287	0
PLEKHM2	3.338733774	1.312414787	4.04795474
AL121992.1	0	0.173974491	2.592046842
RP11-288I21.1	0.070498349	0.191707991	0.160790679
SLC25A34	0.033218064	0.002448961	0.009297508
RP11-169K16.4	0	0	0
TMEM82	0.114174878	0.044575466	0.107302528
FBLIM1	0.174166232	0.076623928	0.164429019
RP11-169K16.6	1.444036463	1.364867114	0.585061009
RP11-169K16.7	15.86356637	23.79683877	13.21730243
RP11-169K16.8	9.995825207	5.042570429	2.335775666
RP11-169K16.9	1.257902732	0.513383952	0.492884158
SPEN	0.458933746	0.61957505	1.019260559
snoU13	0	0	0
RP1-134O19.3	0	0	0
ZBTB17	3.960608878	0.819283407	0.613071174
RP11-5P18.1	0	0	0.039322993
RP11-5P18.3	0	0	0
TBC1D3P6	0	0	0
C1orf64	0	0	0
RP11-5P18.5	0	0	0
HSPB7	0	0	0
CLCNKA	0	0	0
RP11-5P18.10	0	0	0
CLCNKB	0.014388543	0	0
FAM131C	0	0	0
EPHA2	0.041537091	0.037626502	0
RP11-276H7.2	0	0	0
RP11-276H7.3	0	0	0
ARHGEF19-AS1	0	0	0
ARHGEF19	0	0	0
ANO7P1	0.10701536	0	0
C1orf134	0.85690853	0.609863804	0.175705122
RSG1	0.027953521	0.092683544	0
MT1XP1	29.75575642	37.86746182	41.69064282
FBXO42	0.825768108	0.201780125	0.62080899
SZRD1	3.091151485	1.529073897	1.306385766
RP11-430L17.1	2.242142207	0.810065343	0.528937606
SPATA21	0.982019217	0.626035773	0.655371243
NECAP2	37.33287425	25.83786449	27.93262621
RP4-798A10.2	0.271355841	0.151342902	0.13644897
CROCCP3	0.051448187	0.023412953	0.012998001
RNU1-1	3.708051405	3.589287657	2.471971306
RP4-798A10.7	0.090269076	0.008811296	0.066868793
RP4-798A10.4	8.89701968	6.872846293	4.970910392
U1	0.0424315	0	0
AL355149.2	0	0	0
RP5-875O13.6	0	0	0
AL355149.1	0	0	0
NBPF1	2.60034393	2.557260138	2.576221481
RP5-1182A14.5	0	0	0
CROCCP2	0.134055332	0.017257237	0.042533706
MST1P2	0.0191741	0	0.016589094
RNU1-3	3.181366162	3.470012791	2.471971306
AL137798.1	0	0.029678001	0
AL021920.1	0	0	0
EIF1AXP1	126.3284621	167.8066587	149.2361944
ESPNP	0.019775724	0	0
AL021920.2	0	0.029678001	0
CROCC	0.003626279	0.008820236	0
RNU1-4	3.310325025	3.681579003	2.606964265
CROCCP4	0.06370257	0	0
MST1L	0.03507454	0.040019061	0.012543255
RP11-108M9.1	0	0	0
RP11-108M9.2	0	0	0
MIR3675	0	0	0
U1	0.007036449	0	0
RP11-108M9.4	24.92281572	14.3376164	13.11107111
RP11-108M9.5	11.34807862	7.596534046	7.177010303
RNU1-2	3.573667646	3.800853868	2.606964265
RP11-108M9.6	2.842918679	0.567200753	1.298437984
MFAP2	0.594343392	1.019912714	5.216307246
RP1-37C10.3	1.023727955	0	0.701751689
ATP13A2	0.417364873	0.201829934	0.177559976
SDHB	49.91907499	118.6523249	146.4267469
PADI2	0.029162947	0.003762896	0.027080742
Y_RNA	0	0	0
RP11-380J14.1	0	0	0
PADI1	0	0	0
PADI3	0.053055512	0	0
MIR3972	0	0	0
PADI4	0.127702454	0.021867526	0.007451648
AC004824.2	0	0.115404589	0
PADI6	181.814844	93.53431299	114.9324854
RP1-20B21.4	47.07887017	37.1733619	35.22746707
RCC2	6.573483336	5.228750385	5.881766389
AC004824.1	2.387565094	2.628742054	7.114804892
snoU13	0	0	0
ARHGEF10L	0.033111452	0.008634473	0.024955239
RP11-473A10.2	0	0	0
ACTL8	453.9978426	464.8580259	306.5161974
RP11-174G17.2	0	0	0
IGSF21	0.051074087	0.051400127	0.014352574
RP11-174G17	0	0	0
RP11-422P22.1	0	0	0
KLHDC7A	1.116506398	0.694887104	0.777538145
RP1-8B22.1	0.578228453	0.083647788	0.331258049
RP1-8B22.2	0.754628632	0.607665543	2.121462422
PAX7	0	0	0
TAS1R2	0	0	0
RP13-279N23.2	0.215326288	0.034534844	0.127826744
ALDH4A1	0.09209242	0	0.08075507
MIR4695	0	0	0
MIR1290	0	0	0
IFFO2	0.373040705	0.154549534	0.303513743
RP5-1126H10.2	1.056402905	0.085414436	0.161587955
UBR4	1.094876443	0.993265409	0.800873103
AL137127.1	0	0.391221558	0
RP1-43E13.2	0	0.201394745	0
EMC1	0.216122348	0.185845348	0.129471111
MRTO4	6.005385767	4.047394367	4.321699416
AKR7L	0.050077336	0.030597321	0.039440117
AKR7A3	0.062336532	0.033018864	0.037696501
RP4-657E11.10	0.73116093	0.172075449	0.541674552
AKR7A2	9.281430587	1.347644266	2.770054896
RNU6-1099P	0	0	0
PQLC2	0.803581656	0.118965118	0.332519337
RN7SL85P	0	0.022055569	0.172959729
CAPZB	11.78955747	4.63792493	7.119787197
RN7SL277P	0.018120919	0	0.026318907
RNU4-28P	0	0	0
snoU13	0	0	0
RP5-1056L3.1	0	0	0
MINOS1-NBL1	44.27505579	19.47592236	20.2028501
MINOS1	27.61424973	11.69721654	11.84404442
RPS14P3	7.849751435	9.564721449	4.614670795
NBL1	0.852164591	0.208194896	0.441389541
HTR6	0	0	0
TMCO4	0.105529989	0.041701775	0
RNF186	0	0	0
RP11-91K11.2	0	0	0
OTUD3	21.75293241	24.45702367	23.13579765
PLA2G2E	0	0	0
RN7SL304P	0	0	0
PLA2G2A	0	0	0
PLA2G5	0	0	0
PLA2G2D	0	0	0
PLA2G2F	0	0	0.004612661
RP3-340N1.2	0.111430368	0.000573542	0.033556416
PLA2G2C	0	0.004589382	0
RP3-340N1.5	0	0	0
UBXN10	0.201611914	0.158339328	0.181145742
RP3-340N1.6	0	0	0
VWA5B1	0	0.003541619	0
RP4-745E8.2	0	0	0
RP4-749H3.1	0.73570364	0.270206709	0.324033253
RP4-749H3.2	0	0	0
CAMK2N1	0.111280244	0.056458137	0.011590521
MUL1	6.784691958	2.161562335	3.95391481
RPS4XP4	0	0	0
FAM43B	0	0	0
CDA	65.84989776	8.59159858	5.653954493
PINK1	0.909061459	0.181847981	0.620494675
PINK1-AS	1.020634155	0.329953953	0.553945629
AL391357.1	1.975625308	0.239085106	1.254456127
DDOST	1.89784325	0.959430566	5.965438876
KIF17	0.010487826	0	0
RP5-930J4.5	0	0	0
SH2D5	0	0	0
RP5-930J4.2	0	0	0
HP1BP3	6.630956441	6.436699406	5.718979847
RP5-930J4.4	1.243289912	3.159533644	2.71777904
EIF4G3	4.220570339	3.680130664	5.880746576
RNU7-200P	0	0	0
MIR1256	0	0	0
RPS15AP6	0	0.011007841	0
RP11-487E1.2	0.093887369	0	0
RP11-628K18.1	0	0	0
AL031005.1	0	0	0
ECE1	0.32452109	0.126124486	0.161440667
RP3-329E20.2	0	0	0
RP5-1071N3.1	0	0	0
PPP1R11P1	0.232632148	0.140575703	0.118506136
RP11-293F5.8	0	0	0
RP11-293F5.1	0	0	0
NBPF2P	1.106973576	0.772874649	1.218515943
HS6ST1P1	0.068130439	0	0.036568407
CROCCP5	2.468219484	0.569095767	0.358625368
NBPF3	0.355690591	0.176293103	0.235572448
PFN1P10	0	0	0.045421312
ALPL	0	0	0
RP11-63N8.3	0	0	0
AL359815.1	0	0	0
RAP1GAP	0.228190361	0.158880774	0.139948313
USP48	4.586386386	4.204176784	4.677879001
RP11-132G19.3	0	0	0
LDLRAD2	0.005063634	0	0
HSPG2	0.003658527	0.001020486	0
